order_date,sku,product_name,quantity_sold,unit_price,unit_cost,revenue,cost,profit,region,channel,customer_segment
2025-12-03,SKU-001,Hydration Bottle,4,10,4.8,40,19.2,20.8,East,Wholesale,VIP
2025-12-03,SKU-002,Protein Bar Box,6,16,8.48,96,50.88,45.12,West,Retail,New
2025-12-03,SKU-003,Yoga Mat,9,22,12.76,198,114.84,83.16,East,Retail,Returning
2025-12-03,SKU-004,Running Socks,8,28,13.44,224,107.52,116.48,West,Wholesale,Returning
2025-12-03,SKU-005,Smart Scale,9,34,18.02,306,162.18,143.82,Online,Amazon,New
2025-12-03,SKU-006,Resistance Bands,15,12,6.96,180,104.4,75.6,Online,Shopify,VIP
2025-12-03,SKU-007,Meal Prep Container,18,18,8.64,324,155.52,168.48,South,Amazon,Returning
2025-12-03,SKU-008,Trail Mix Pack,3,24,12.72,72,38.16,33.84,West,Wholesale,Returning
2025-12-03,SKU-009,Vitamin Organizer,4,30,17.4,120,69.6,50.4,North,Amazon,VIP
2025-12-03,SKU-010,Foam Roller,7,36,17.28,252,120.96,131.04,South,Wholesale,New
2025-12-03,SKU-011,Sports Towel,5,14,7.42,70,37.1,32.9,South,Retail,Returning
2025-12-03,SKU-012,Electrolyte Pack,10,20,11.6,200,116.0,84.0,East,Amazon,New
2025-12-03,SKU-013,Knee Support,19,26,12.48,494,237.12,256.88,East,Wholesale,VIP
2025-12-03,SKU-014,Gym Gloves,17,32,16.96,544,288.32,255.68,West,Shopify,Wholesale
2025-12-03,SKU-015,Jump Rope,4,38,22.04,152,88.16,63.84,West,Wholesale,Returning
2025-12-03,SKU-016,Massage Ball,6,16,7.68,96,46.08,49.92,West,Amazon,New
2025-12-03,SKU-017,Compression Sleeve,7,22,11.66,154,81.62,72.38,South,Amazon,VIP
2025-12-03,SKU-018,Training Cone,8,28,16.24,224,129.92,94.08,North,Shopify,VIP
2025-12-03,SKU-019,Water Filter,9,34,16.32,306,146.88,159.12,Online,Shopify,New
2025-12-03,SKU-020,Energy Gel,11,40,21.2,440,233.2,206.8,South,Wholesale,New
2025-12-04,SKU-001,Hydration Bottle,3,10,4.8,30,14.4,15.6,West,Shopify,New
2025-12-04,SKU-003,Yoga Mat,6,22,12.76,132,76.56,55.44,North,Retail,VIP
2025-12-04,SKU-004,Running Socks,6,28,13.44,168,80.64,87.36,North,Shopify,Returning
2025-12-04,SKU-005,Smart Scale,6,34,18.02,204,108.12,95.88,East,Retail,New
2025-12-04,SKU-006,Resistance Bands,16,12,6.96,192,111.36,80.64,South,Wholesale,Returning
2025-12-04,SKU-007,Meal Prep Container,14,18,8.64,252,120.96,131.04,North,Wholesale,New
2025-12-04,SKU-008,Trail Mix Pack,3,24,12.72,72,38.16,33.84,East,Shopify,Returning
2025-12-04,SKU-009,Vitamin Organizer,7,30,17.4,210,121.8,88.2,North,Wholesale,New
2025-12-04,SKU-010,Foam Roller,11,36,17.28,396,190.08,205.92,Online,Wholesale,New
2025-12-04,SKU-011,Sports Towel,7,14,7.42,98,51.94,46.06,South,Shopify,New
2025-12-04,SKU-012,Electrolyte Pack,7,20,11.6,140,81.2,58.8,South,Retail,Returning
2025-12-04,SKU-013,Knee Support,11,26,12.48,286,137.28,148.72,East,Wholesale,New
2025-12-04,SKU-014,Gym Gloves,10,32,16.96,320,169.6,150.4,East,Retail,Returning
2025-12-04,SKU-015,Jump Rope,2,38,22.04,76,44.08,31.92,West,Wholesale,New
2025-12-04,SKU-016,Massage Ball,9,16,7.68,144,69.12,74.88,North,Retail,VIP
2025-12-04,SKU-017,Compression Sleeve,6,22,11.66,132,69.96,62.04,North,Amazon,Returning
2025-12-04,SKU-018,Training Cone,13,28,16.24,364,211.12,152.88,West,Retail,New
2025-12-04,SKU-019,Water Filter,8,34,16.32,272,130.56,141.44,West,Wholesale,Returning
2025-12-04,SKU-020,Energy Gel,18,40,21.2,720,381.6,338.4,West,Shopify,Returning
2025-12-05,SKU-001,Hydration Bottle,3,10,4.8,30,14.4,15.6,East,Wholesale,VIP
2025-12-05,SKU-003,Yoga Mat,10,22,12.76,220,127.6,92.4,West,Wholesale,Returning
2025-12-05,SKU-004,Running Socks,13,28,13.44,364,174.72,189.28,West,Retail,New
